"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	143	4430141	3.2
	"1999"	"1999"	"Alaska"	"02"	38	624779	6.1
	"1999"	"1999"	"Arizona"	"04"	432	5023823	8.6
	"1999"	"1999"	"Arkansas"	"05"	124	2651860	4.7
	"1999"	"1999"	"California"	"06"	3397	33499204	10.1
	"1999"	"1999"	"Colorado"	"08"	287	4226018	6.8
	"1999"	"1999"	"Connecticut"	"09"	174	3386401	5.1
	"1999"	"1999"	"Delaware"	"10"	76	774990	9.8
	"1999"	"1999"	"District of Columbia"	"11"	72	570213	12.6
	"1999"	"1999"	"Florida"	"12"	883	15759421	5.6
	"1999"	"1999"	"Georgia"	"13"	279	8045965	3.5
	"1999"	"1999"	"Hawaii"	"15"	58	1210300	4.8
	"1999"	"1999"	"Idaho"	"16"	67	1275674	5.3
	"1999"	"1999"	"Illinois"	"17"	687	12359020	5.6
	"1999"	"1999"	"Indiana"	"18"	276	6044969	4.6
	"1999"	"1999"	"Iowa"	"19"	129	2917634	4.4
	"1999"	"1999"	"Kansas"	"20"	164	2678338	6.1
	"1999"	"1999"	"Kentucky"	"21"	209	4018053	5.2
	"1999"	"1999"	"Louisiana"	"22"	2563	4460811	57.5
	"1999"	"1999"	"Maine"	"23"	129	1266808	10.2
	"1999"	"1999"	"Maryland"	"24"	275	5254509	5.2
	"1999"	"1999"	"Massachusetts"	"25"	177	6317345	2.8
	"1999"	"1999"	"Michigan"	"26"	462	9897116	4.7
	"1999"	"1999"	"Minnesota"	"27"	309	4873481	6.3
	"1999"	"1999"	"Mississippi"	"28"	117	2828408	4.1
	"1999"	"1999"	"Missouri"	"29"	398	5561948	7.2
	"1999"	"1999"	"Montana"	"30"	66	897507	7.4
	"1999"	"1999"	"Nebraska"	"31"	38	1704764	2.2
	"1999"	"1999"	"Nevada"	"32"	314	1934718	16.2
	"1999"	"1999"	"New Hampshire"	"33"	103	1222014	8.4
	"1999"	"1999"	"New Jersey"	"34"	553	8359592	6.6
	"1999"	"1999"	"New Mexico"	"35"	334	1808082	18.5
	"1999"	"1999"	"New York"	"36"	1043	18882725	5.5
	"1999"	"1999"	"North Carolina"	"37"	597	7949361	7.5
	"1999"	"1999"	"North Dakota"	"38"	35	644259	5.4
	"1999"	"1999"	"Ohio"	"39"	592	11335454	5.2
	"1999"	"1999"	"Oklahoma"	"40"	319	3437147	9.3
	"1999"	"1999"	"Oregon"	"41"	429	3393941	12.6
	"1999"	"1999"	"Pennsylvania"	"42"	424	12263805	3.5
	"1999"	"1999"	"Rhode Island"	"44"	38	1040402	3.7
	"1999"	"1999"	"South Carolina"	"45"	184	3974682	4.6
	"1999"	"1999"	"South Dakota"	"46"	40	750412	5.3
	"1999"	"1999"	"Tennessee"	"47"	296	5638706	5.2
	"1999"	"1999"	"Texas"	"48"	779	20558220	3.8
	"1999"	"1999"	"Utah"	"49"	198	2203482	9.0
	"1999"	"1999"	"Vermont"	"50"	47	604683	7.8
	"1999"	"1999"	"Virginia"	"51"	425	7000174	6.1
	"1999"	"1999"	"Washington"	"53"	481	5842564	8.2
	"1999"	"1999"	"West Virginia"	"54"	100	1811799	5.5
	"1999"	"1999"	"Wisconsin"	"55"	283	5332666	5.3
	"1999"	"1999"	"Wyoming"	"56"	46	491780	9.4
"Total"	"1999"	"1999"			19689	279040168	7.1
	"2000"	"2000"	"Alabama"	"01"	188	4447100	4.2
	"2000"	"2000"	"Alaska"	"02"	58	626932	9.3
	"2000"	"2000"	"Arizona"	"04"	374	5130632	7.3
	"2000"	"2000"	"Arkansas"	"05"	119	2673400	4.5
	"2000"	"2000"	"California"	"06"	3251	33871648	9.6
	"2000"	"2000"	"Colorado"	"08"	283	4301261	6.6
	"2000"	"2000"	"Connecticut"	"09"	232	3405565	6.8
	"2000"	"2000"	"Delaware"	"10"	64	783600	8.2
	"2000"	"2000"	"District of Columbia"	"11"	117	572059	20.5
	"2000"	"2000"	"Florida"	"12"	1274	15982378	8.0
	"2000"	"2000"	"Georgia"	"13"	386	8186453	4.7
	"2000"	"2000"	"Hawaii"	"15"	61	1211537	5.0
	"2000"	"2000"	"Idaho"	"16"	136	1293953	10.5
	"2000"	"2000"	"Illinois"	"17"	660	12419293	5.3
	"2000"	"2000"	"Indiana"	"18"	384	6080485	6.3
	"2000"	"2000"	"Iowa"	"19"	165	2926324	5.6
	"2000"	"2000"	"Kansas"	"20"	188	2688418	7.0
	"2000"	"2000"	"Kentucky"	"21"	255	4041769	6.3
	"2000"	"2000"	"Louisiana"	"22"	162	4468976	3.6
	"2000"	"2000"	"Maine"	"23"	127	1274923	10.0
	"2000"	"2000"	"Maryland"	"24"	387	5296486	7.3
	"2000"	"2000"	"Massachusetts"	"25"	215	6349097	3.4
	"2000"	"2000"	"Michigan"	"26"	567	9938444	5.7
	"2000"	"2000"	"Minnesota"	"27"	379	4919479	7.7
	"2000"	"2000"	"Mississippi"	"28"	124	2844658	4.4
	"2000"	"2000"	"Missouri"	"29"	418	5595211	7.5
	"2000"	"2000"	"Montana"	"30"	97	902195	10.8
	"2000"	"2000"	"Nebraska"	"31"	58	1711263	3.4
	"2000"	"2000"	"Nevada"	"32"	318	1998257	15.9
	"2000"	"2000"	"New Hampshire"	"33"	92	1235786	7.4
	"2000"	"2000"	"New Jersey"	"34"	600	8414350	7.1
	"2000"	"2000"	"New Mexico"	"35"	391	1819046	21.5
	"2000"	"2000"	"New York"	"36"	1022	18976457	5.4
	"2000"	"2000"	"North Carolina"	"37"	600	8049313	7.5
	"2000"	"2000"	"North Dakota"	"38"	41	642200	6.4
	"2000"	"2000"	"Ohio"	"39"	664	11353140	5.8
	"2000"	"2000"	"Oklahoma"	"40"	701	3450654	20.3
	"2000"	"2000"	"Oregon"	"41"	463	3421399	13.5
	"2000"	"2000"	"Pennsylvania"	"42"	479	12281054	3.9
	"2000"	"2000"	"Rhode Island"	"44"	38	1048319	3.6
	"2000"	"2000"	"South Carolina"	"45"	258	4012012	6.4
	"2000"	"2000"	"South Dakota"	"46"	65	754844	8.6
	"2000"	"2000"	"Tennessee"	"47"	357	5689283	6.3
	"2000"	"2000"	"Texas"	"48"	1007	20851820	4.8
	"2000"	"2000"	"Utah"	"49"	232	2233169	10.4
	"2000"	"2000"	"Vermont"	"50"	60	608827	9.9
